Company_Name,Month,Revenue,COGS,Operating_Expenses,Accounts_Receivable,Accounts_Payable,Taxes_Paid,CapEx,Asset_Sale_Proceeds,Investments_Bought,Investments_Sold,Debt_Raised,Debt_Repaid,Interest_Paid,Equity_Issued,Dividends_Paid,Net_Cash_Flow
Tata Motors,2021-01-01,3822660773.04013,1739427001.905725,680315497.4875268,419288607.2684907,361559776.2189983,350729568.41171956,131637369,29210711,31632483,4981505,148171095.0,85652971,4521373,3344769,30349564.0,1071282164.2351587
Tata Motors,2021-02-01,3563143023.7299824,1674076482.8255475,388598670.88406503,398496930.69924045,,375116967.5050925,164113541,2428388,59248434,61306900,55831368.0,10959014,20193880,3385357,44738553.0,1021555583.5152774
Tata Motors,2021-03-01,2579679831.456258,1676684765.425831,302690513.159766,229865107.79618484,175995067.59584853,150076138.2176652,48823873,14091261,19082629,20687413,66401385.0,22335235,22191925,271836,3584702.0,483501971.6529956
Tata Motors,2021-04-01,3122452568.505223,1432565185.0451887,326367263.293046,257705481.115702,277485268.5763183,340880030.04174703,122917918,2704238,2630708,37049111,,57055419,15606139,11002348,1285160.0,873900443.125241
Tata Motors,2021-05-01,3473293638.9680963,1395071435.870952,630563063.124411,419176993.5527861,426870277.9002955,361914784.9931834,126088360,19009001,63203558,37407771,161226952.0,51327755,11910049,7130144,4545583.0,1114096160.9795501
Tata Motors,2021-06-01,3426182303.758449,1855841247.551527,383593399.2823595,415679782.011061,431967942.241445,296686914.2311406,124315197,26063245,39443226,7887739,61071026.0,769598,22070111,28433648,7971379.0,821324329.6934218
Tata Motors,2021-07-01,4539324442.284781,2127306508.4037247,488876122.85355,358493807.3541386,300149795.09911084,480785452.7568767,81487124,14643995,44066131,75415325,35563453.0,50873983,45377017,23477595,53892568.0,1442425876.2706301
Tata Motors,2021-08-01,3767812747.435283,1514983396.7852898,569221294.4805222,345663287.230136,272076701.3314199,420902014.0423678,121053464,23234510,51715898,45968757,134278815.0,80705119,18273392,10274621,13022704.0,1293418762.1271033
Tata Motors,2021-09-01,2522595197.538109,1036953329.8897593,406027925.9026313,252935328.8669328,139115764.94475365,269903485.43642956,30900670,8658144,40163712,22277522,105035389.0,44165849,5478047,1119043,11718070.0,874617129.3092887
Tata Motors,2021-10-01,5171671728.290282,2687445419.378602,939398936.5094047,671461477.6446117,336529752.52285004,386206843.1005689,86930215,35703247,40910172,62744322,121946771.0,57805563,24435642,6404003,,1251174482.3017068
Tata Motors,2021-11-01,4865791652.734341,2702097720.9702997,894191449.3469418,572066315.7691993,601030428.2324655,317375620.60427475,141307309,12105878,43799966,10047453,35581225.0,34109026,42090758,16037627,80337039.0,824754142.8128242
Tata Motors,2021-12-01,2623262824.405524,1488670268.3491502,493864993.0963354,180665975.4215768,204318426.42495176,160181890.74000955,81456582,12503247,27853954,51910807,126736437.0,54847136,6041495,25834058,23101383.0,562385627.2200286
Tata Motors,2022-01-01,5309145612.06339,2575871583.985409,693036681.1293564,523276693.5041642,503532187.71104157,510059336.73715615,211014440,17395683,105996448,77633091,213670688.0,55403796,29840175,52039571,97576439.0,1521866584.2114685
Tata Motors,2022-02-01,2406564923.346418,1422038696.8907766,300931755.06401706,262284495.27170357,355905167.8112162,170898617.84790605,101341347,6105525,26365210,27180308,11326237.0,61864219,20880238,1418175,,429601366.54371816
Tata Motors,2022-03-01,4336672077.042993,3028580659.6322994,637466732.8627056,338069756.66400945,599975989.5117981,167656171.1369969,109752360,27674903,78384476,42058334,112184418.0,49742523,39769056,37890300,43369428.0,496749332.4109907
Tata Motors,2022-04-01,4017521604.402126,2445903065.395647,630775467.1066905,239916946.5365174,447956562.2328414,235210767.97494707,104960561,17882750,78725274,60303849,10192257.0,43167705,27460368,21130343,40869792.0,610325324.9248412
Tata Motors,2022-05-01,4038813888.784755,2666108672.3725386,772722251.6251296,,404493792.0826907,149995741.19677177,69482045,40110400,36253447,62134783,,62460303,16722573,2503771,70286689.0,299531120.59031534
Tata Motors,2022-06-01,4747976935.2313385,3094161849.497992,883315821.7941697,356217615.53552544,255837489.0972405,192624815.9847942,206747587,8849851,60779108,66009351,85871668.0,92526139,17781862,31020227,87753580.0,471078622.95438266
Tata Motors,2022-07-01,2814738260.1750865,1561870407.301564,372377620.0934012,364561013.6466052,,220122558.19503033,34467089,7967801,1423286,3695961,108880612.0,78911293,183062,27657342,36396424.0,745021673.585091
Tata Motors,2022-08-01,3059709045.335338,1879820300.6676748,507972093.05852425,,445146445.898951,167979162.90228477,112832456,3699391,32122302,59261508,,52496015,10292658,144356,,359299312.70685434
Tata Motors,2022-09-01,2738817679.2355776,1175912050.341472,408526392.9398428,266616169.60505772,184377718.3003999,288594808.9885657,133790324,288790,5084921,27810313,50018037.0,43351876,16612451,26807073,46787763.0,805026321.965697
Tata Motors,2022-10-01,5006742283.233374,2927719332.7721963,973256429.0576713,723099553.8953907,684521271.0221413,276441630.3508765,99045501,11726298,84607827,55723671,224061323.0,56564401,46673570,11438459,15033888.0,937182855.0526295
Tata Motors,2022-11-01,5187088817.565309,2379511328.779318,554687204.5706663,311628885.2784085,268806263.68554324,563222571.0538311,189064858,38134513,103312086,37317456,131952729.0,27812615,44653148,4833177,99952217.0,1604695467.1614933
Tata Motors,2022-12-01,3586253591.8721457,2378552584.8324614,622240476.2995038,467461316.85295093,280457429.48520464,146365132.68504512,38502863,25856919,57658082,55395426,161566703.0,11552291,70640,10389599,62976036.0,585753501.0551354
Tata Motors,2023-01-01,3913969365.7710176,2158850438.6316195,714869857.0229458,320964901.68465596,546203516.5555997,260062267.52911308,100135453,28391011,46547339,14573458,123637835.0,47911176,29264326,15787803,,800106314.5873393
Tata Motors,2023-02-01,2294861154.7021356,1144216311.3100317,383819763.5373585,287402565.8744897,296399457.56737804,191706269.96368635,58889531,17564710,38887092,43144233,23614649.0,17310852,11426978,21009622,30773482.0,561665778.891059
Tata Motors,2023-03-01,2599112590.982221,1371882951.7042959,317761376.0346803,233049846.83636746,361769678.0950952,227367065.81081122,118783126,13846020,28830884,9726290,80768647.0,23020885,1286643,9922192,41869822.0,638828144.4324336
Tata Motors,2023-04-01,4294271921.709902,2437090675.8651457,611599658.4590552,603926814.7885919,262464818.68870905,311395396.84642524,58757547,38538877,73851335,44196734,103982440.0,109356966,39360898,22521804,80558427.0,988295359.5392756
Tata Motors,2023-05-01,2922643328.8290343,1872341105.2296288,578069819.4621156,308632608.1398596,240441888.44179326,118058101.03432247,81413648,18312053,11889876,36892874,48518372.0,12842659,423570,2373139,55553464.0,364594078.1029674
Tata Motors,2023-06-01,4880267502.601717,2514609314.676708,847751612.3472192,690681977.1563727,711885795.4839401,379476643.8944474,114360122,16736613,77982667,55860631,,117601287,2667867,26729123,56987271.0,868157084.6833422
Tata Motors,2023-07-01,4103069786.749365,2301120155.7595496,537308319.7298347,539059265.1341368,486103467.952597,316160327.81499517,202594245,35154828,20088365,58842658,43109628.0,13021573,29933823,13046468,,862905487.4449855
Tata Motors,2023-08-01,2075737360.4094987,1314524377.7304862,307285948.6162461,308306374.62614626,,113481758.51569161,46058427,10155224,5001045,4463418,28267184.0,43824588,4345760,3251298,38019582.0,332271629.5470748
Tata Motors,2023-09-01,4460246705.831326,2755702113.174607,783701564.3288009,391543002.0619546,330542118.21398,230210757.08197945,119959083,17864557,6195200,71086130,106222252.0,53363404,17620739,42489277,13832640.0,759650927.2459383
Tata Motors,2023-10-01,4882592534.06407,2650579851.460675,894184076.447696,394404712.0093008,642737516.269974,334457151.53892475,179709744,44166109,7102173,45388538,122332984.0,117922192,38720111,48515838,61356950.0,1028447168.6167743
Tata Motors,2023-11-01,2646353027.359046,1836936361.1718926,425556814.8894467,300796214.15555966,279141447.8971293,95964962.82442667,59307275,19350835,2453752,10320855,18130254.0,71766557,21041910,707689,12836402.0,273935805.47328
Tata Motors,2023-12-01,2839423638.661935,1174835324.6432602,460215397.4025722,240616566.30343172,201352273.1091371,301093229.1540256,102052646,24784623,25827438,16663288,97148566.0,13081782,14882910,8001482,43669391.0,913996080.4620769
Reliance Industries,2021-01-01,4047947206.1398044,2800908678.3340163,648454990.8796493,293010280.40023977,535053871.5516241,149645884.2315347,180420801,16618153,2382357,75012933,,99981544,13781337,15428653,16099248.0,243332104.69460404
Reliance Industries,2021-02-01,4873209529.014198,2697307361.807317,563819466.8269321,427519832.54880863,,403020675.0949874,143294406,15152994,75191987,93842126,157155630.0,42758171,40968150,67661,7585153.0,1256726382.2849622
Reliance Industries,2021-03-01,4407197578.639268,1803168070.778734,822918534.3391488,376439313.9322254,395397827.0254718,445277743.38034624,126721023,13014646,9810404,86205129,6292518.0,41142200,35747046,17547389,62132760.0,1304814096.1410387
Reliance Industries,2021-04-01,4123883682.2188725,2372304689.53958,716245386.5192071,436200607.05462235,448074574.91500944,258833401.5400214,49650719,11082322,16203305,10848680,107145828.0,83031557,38750899,22730009,59292991.0,839723010.6200641
Reliance Industries,2021-05-01,2721542250.412656,1272592718.9785626,371587627.1632002,268836610.827269,367630694.73886234,269340476.0677233,43730299,5056861,6436446,37703319,93481782.0,76165878,20446082,4612338,11242014.0,894096645.2031698
Reliance Industries,2021-06-01,2151035694.3776455,1026841733.7474293,251862099.45797566,251379328.00498757,307463877.32997906,218082965.29306012,37774238,5584263,33799193,16612651,75495044.0,63862169,14460021,64323,15296274.0,680367422.8791804
Reliance Industries,2021-07-01,2972251013.454125,1640180804.5423133,574243158.6781077,243915458.7329331,,189456762.55842596,139160339,2863793,4909047,40435721,3757974.0,75900553,23988395,27564929,,471358389.67527795
Reliance Industries,2021-08-01,2549048201.930519,1380240411.4213161,359885054.3619036,,364393869.4752194,202230684.03682482,103312751,16265147,9742257,47515508,52044151.0,3609736,8060833,6638155,18161634.0,609461850.1104745
Reliance Industries,2021-09-01,2770867870.0906754,1732209648.968295,498627961.7100043,367176755.7455327,190193752.37612832,135007564.85309398,100472920,4873594,37617741,31956377,15876696.0,9451244,10175529,7817304,47704465.0,319638700.55928195
Reliance Industries,2021-10-01,3320619111.5275903,1765318830.863682,523823105.93432707,284033290.4791263,296027253.27200526,257869293.68239528,35815280,19285965,17691444,953959,10016389.0,87255618,11630982,17122482,29122503.0,750357470.0471859
Reliance Industries,2021-11-01,4719188920.4529705,2102410291.764939,619026424.9054412,353226165.56918013,587041756.1547526,499438050.9456475,191212622,6097091,31738453,53509641,7583354.0,19908425,39367797,37612325,22468492.0,1342553163.8369424
Reliance Industries,2021-12-01,4016304597.1560464,1882744868.6356072,691709090.7900879,490003835.04283386,458319648.39909595,360462659.4325878,67858903,12920739,49282339,7726890,156892442.0,8357956,25554173,9451337,36940933.0,1141786807.2977633
Reliance Industries,2022-01-01,4191755052.261344,1803453906.8342931,526490945.1366308,,458143278.0052902,465452550.07260495,53226961,39302467,37944452,69790583,98881316.0,84776775,24144880,27580296,76796917.0,1513160603.217815
Reliance Industries,2022-02-01,2331962573.1715198,1621768874.217867,428824151.34686446,145668999.34229907,331335009.2658274,70342386.9016971,104228479,3578226,35981972,18492846,100981704.0,28088632,19894388,9272985,23081896.0,193869485.7050913
Reliance Industries,2022-03-01,3877724246.1818914,2409037639.88813,563130072.0128746,280981769.08147043,369329780.4729494,226389133.57022166,106882636,19378839,64991256,39785651,188658373.0,11292148,36919127,12966064,31199893.0,755116371.710665
Reliance Industries,2022-04-01,3692286554.005953,1936187944.7035182,400742198.5841601,552688867.3128511,370039116.1137904,338839102.67956865,178162929,19655820,24210749,13691164,156979628.0,11707868,14246173,36248719,10055079.0,1004470242.038706
Reliance Industries,2022-05-01,4244580205.434782,2208153368.7521715,662001847.7868607,278121977.768172,289449864.42293745,343606247.22393745,98294816,37003110,13942402,81602413,114153633.0,10669435,16642016,41924694,,1151340679.6718123
Reliance Industries,2022-06-01,2807991898.8814907,1288401958.1137223,422745392.8231998,307488866.3877223,235666685.94406798,274211136.98614216,57902098,19962930,52059744,42290779,,29677043,17277092,1962165,7985620.0,721947687.9584265
Reliance Industries,2022-07-01,3094282155.045102,1351684763.638619,580624741.892102,,372534904.1594609,290493162.3785953,49728997,21232430,58808211,33246730,40473321.0,54148094,20153729,15823554,52269526.0,857894760.1357858
Reliance Industries,2022-08-01,3512580500.888672,1715332605.8993623,684409909.2927322,443851707.337552,224844905.95591643,278209496.4241443,49198794,13126263,9944790,68841329,96504946.0,53505232,13109773,31404552,44599847.0,953957443.272433
Reliance Industries,2022-09-01,4180435751.8037972,2331458510.46264,489812997.6208189,322858115.91615784,,339791060.93008465,169200324,35974996,10971177,60200291,103316389.0,20080673,31366160,6944121,6238795.0,1038693357.7902539
Reliance Industries,2022-10-01,4338243468.4389515,2559257448.8481197,648252377.0421481,465621232.58490306,,282683410.6371709,169575030,34954715,81250937,67800621,201717311.0,43470977,43092987,23631669,,901696911.9115127
Reliance Industries,2022-11-01,3199232349.2351856,2158375231.4619403,550758361.9572605,355244253.14335823,,122524688.95399621,124975673,31873646,4131479,42955157,117855520.0,85518073,3351278,19119251,24755666.0,431151237.86198866
Reliance Industries,2022-12-01,3520309998.5544033,1908962701.273394,473264749.3809199,299768534.3411418,,284520636.9750223,110045271,3875754,19482215,57696034,28356738.0,65564145,10912996,10047595,30908587.0,813962950.925067
Reliance Industries,2023-01-01,2737721194.815512,1662256893.3251517,416489708.0865114,160623529.36238256,399206508.5667803,164743648.35096228,63422349,24319751,41601684,38808656,20515189.0,52534223,23388869,17241287,54712785.0,472850508.05288684
Reliance Industries,2023-02-01,1971565132.7515066,1136566146.731599,394185564.77887046,,191874713.56501335,110203355.31025925,21239753,11579149,2035848,21900146,77937327.0,25370439,9913841,12356830,11457501.0,418751086.9307778
Reliance Industries,2023-03-01,4884721168.710578,2290947178.431156,547365678.7912362,281825551.73535407,584353710.7422813,511602077.8720464,166421778,15170521,25841846,12267883,42639398.0,11984398,30502775,35396080,30715395.0,1412620411.6161392
Reliance Industries,2023-04-01,4995042823.891287,2623655360.2428575,730246714.4706761,,,410285187.29443836,174234472,38499601,6733215,75304674,32339834.0,40739629,29900787,24948764,73823165.0,1196031983.883315
Reliance Industries,2023-05-01,3473494128.766337,2189975609.2102365,492460459.3818177,320032813.7907155,429873485.8434145,197764515.04357067,49107469,4720642,46695565,67658103,159940253.0,38963185,9659072,17562548,59488206.0,729809509.130712
Reliance Industries,2023-06-01,2856744984.265343,1500574529.7309046,536816179.9969395,412723095.82885116,276361941.5033778,204838568.6343748,113012453,20658401,46316696,38559430,10679043.0,55498298,13497927,22470291,41664348.0,525083430.90312433
Reliance Industries,2023-07-01,2694242272.5772796,1107386330.6014457,527336028.13881254,357311944.77408665,350458867.7952432,264879978.45925534,47463435,1514542,37735088,11318792,107509488.0,75785788,10397562,24124905,35383985.0,829784234.377766
Reliance Industries,2023-08-01,4417237781.579378,2478478225.195722,703639446.3969365,,261273800.54602614,308780027.4966799,54741697,2339767,67001666,19391451,168263196.0,59047560,10851224,36264673,78931275.0,994591133.4900397
Reliance Industries,2023-09-01,3149818198.4333024,1612097601.343073,396799539.36334866,385355093.84256446,313682751.37292546,285230264.4317202,111153546,5087268,6155579,403119,83665691.0,58544068,30495692,29332593,46263335.0,827537746.2951605
Reliance Industries,2023-10-01,5016202541.963703,2857828851.5452228,635567042.9563725,691548724.1982129,650815170.7594527,380701661.865527,193836560,46860379,29342048,4684346,235339322.0,89605800,25271052,38175082,85641772.0,1205810424.596581
Reliance Industries,2023-11-01,2885853097.8621445,1986605649.8740542,422913116.4632922,397979770.3389687,,119083582.88119952,60842817,8859060,39227037,10528294,4810833.0,23480675,6417665,17219277,28500556.0,281379081.64359856
Reliance Industries,2023-12-01,4520627878.664154,2160593744.9262886,738673173.5328325,470138690.0946622,,405340240.0512582,188413144,12037574,43020873,73663899,32735803.0,15886372,37622748,32456981,75176851.0,1103023979.1537747
Infosys,2021-01-01,2384764098.4048886,1292714241.4865558,252289073.3308587,,,209940195.89686853,115752933,20353727,17941166,549148,36328139.0,21845218,2773939,1935740,36989387.0,553357502.6906056
Infosys,2021-02-01,3197592344.06761,1706781461.6598392,407253887.7302607,,296155024.1248316,270889248.66937745,91620223,11369960,31670310,48958734,57641756.0,26552476,6440010,8674163,50775839.0,807347663.0081323
Infosys,2021-03-01,2400492486.581562,1486819485.062323,458379924.147357,325833270.26537,351557039.0129516,113823269.34297049,67358670,3340216,20610500,13245696,35402297.0,24363941,14568974,15674529,42862524.0,305488847.0289115
Infosys,2021-04-01,4003649305.923886,2764351806.0708075,474642840.8099858,547948719.645683,511104610.3624273,191163664.76077312,129895131,2442266,4437677,47347699,76716230.0,5241218,26821567,5481140,23991831.0,565664381.2823193
Infosys,2021-05-01,2553073875.21077,1486379018.2762482,318506166.8932581,270220574.35641736,185235758.3089802,187047172.51031595,45182253,7339838,46791381,16520181,57661940.0,70047063,15286855,24371594,8998604.0,550689842.5309479
Infosys,2021-06-01,4780187618.588918,2854226877.8983397,839907295.6162082,694393303.371273,672963729.4215704,271513361.2685925,205793566,22750760,38836811,76934008,36097069.0,75142815,11779534,37712981,,705691543.8057774
Infosys,2021-07-01,3940566983.9857287,1990727466.2400315,407140605.82546747,,353438624.9368322,385674727.9800575,72544550,37436581,21650278,57376857,8439469.0,24455289,15941617,38400142,54332385.0,1166082262.9401724
Infosys,2021-08-01,2176143607.066534,1273003478.4990005,350999815.4688994,,312320525.5214203,138035078.2746585,64068835,13526705,1308507,20843837,9331795.0,48641341,12382318,9986298,100734.0,392430229.8239755
Infosys,2021-09-01,3927634185.853663,1619073840.4322762,457176415.38502705,368650579.0573261,,462845982.50908995,171469632,14150540,45221400,1992825,70941842.0,30559798,6152941,37670243,,1258932122.5272698
Infosys,2021-10-01,4544747951.740898,3176325137.971019,897493717.8778524,522794030.6860184,317924412.101604,117732273.97300673,187443955,41654364,52182965,69055694,32997728.0,120054662,40793419,9957168,36159646.0,257277687.91902018
Infosys,2021-11-01,3784900421.308404,2498448531.0118146,597512921.901487,355256589.55372447,463747823.5116599,172234742.0987756,189133050,33321714,11186361,26256629,99480843.0,37998210,28175911,33814548,61688718.0,475444001.29632676
Infosys,2021-12-01,4469152877.975633,3090055105.246534,527796654.70245093,605295403.7919949,443464143.7896226,212825279.50666195,194557501,33523310,63640055,72648934,200718296.0,27364435,6491878,31241029,,687168822.5199859
Infosys,2022-01-01,4774827209.514246,2097400618.6677125,940555512.3914824,455418025.43487144,351451377.99622643,434217769.61376286,94978930,19432053,58016013,78981711,84928457.0,48436828,38131465,3257181,89148776.0,1333000586.8412886
Infosys,2022-02-01,2640944034.1227875,1356937055.1037726,424013641.8988745,226258140.431776,,214998334.28003508,28730128,1805808,9709175,37774891,38090551.0,78774891,3622138,10929084,12617619.0,684226949.8401053
Infosys,2022-03-01,2229711933.385528,1042190442.0767387,263108335.39524093,131230940.96032527,134520518.12177956,231103288.9783871,66633452,3040267,33149417,29008147,76794548.0,47876337,17958103,21217066,7536765.0,702369959.9351612
Infosys,2022-04-01,4232784195.5763545,2128227158.953738,648566237.2455027,,267814458.69958016,363997699.84427845,121966676,6681935,9963441,61647593,194986875.0,73798006,26336263,4990961,3646804.0,1223379385.5328355
Infosys,2022-05-01,2625740043.2315454,1571478384.1726954,519537140.21183574,229567603.11468396,135886246.02191675,133681129.71175358,129754248,11820569,40930951,22479150,34831079.0,61247832,8704813,19822531,19921696.0,299488988.1352607
Infosys,2022-06-01,4126578408.0318403,2465026432.1527414,825073750.9487729,226223996.25850827,609567509.3509735,209119556.2325815,178309408,38491224,10427148,4876872,120180468.0,19397196,31935646,17498600,65969098.0,602170676.6977445
Infosys,2022-07-01,3319027011.0627046,2141934960.6419392,371800411.28120863,346668752.8892579,167862665.52721575,201322909.7848892,85098508,22371392,30436427,1961977,90936006.0,4032654,664468,23277458,58231611.0,603703169.3546675
Infosys,2022-08-01,1886895637.814437,1096351610.6747487,314774345.2539674,211236145.04609162,181801270.83074918,118942420.47143021,39423710,14178388,17002265,14846767,14677441.0,44804549,747419,9468532,5438684.0,344103882.41429067
Infosys,2022-09-01,4271801785.4005876,2214115862.476428,661879051.0052303,532640591.03616434,519233622.70848596,348951717.9797323,133917931,11199468,42491924,35553686,,93262159,29419310,37710964,73701774.0,758526173.9391968
Infosys,2022-10-01,3295775196.129124,1482767554.5912876,533042780.5497529,337185725.8815242,385637348.79597867,319991215.2470209,133270483,26417902,4338843,33978658,79165063.0,71226787,28768925,22390417,39858177.0,961925942.7410626
Infosys,2022-11-01,5279430703.629027,3378488942.8607016,625393510.394018,419861661.80392706,,318887062.5935769,80981228,49402807,78500947,63546819,105394037.0,13952821,14394752,52237687,35009897.0,1015522675.7807307
Infosys,2022-12-01,4301823298.461713,1994383149.1754231,693015555.1218085,391908349.69764054,576384656.9379323,403606148.5411203,150491711,18552983,41538255,77827225,24245082.0,89380419,39432241,31886947,75111483.0,1139413769.6233609
Infosys,2023-01-01,3887012337.4546437,1750726924.493443,675124967.5199087,529720905.3857662,278597644.569762,365290111.360323,181525563,28222101,72892046,49375650,191529947.0,80256454,29565896,1206861,30131276.0,1110580423.080969
Infosys,2023-02-01,5160958759.532114,2749836706.1211324,746166728.5039297,,,416238831.226763,174402826,14578363,26659117,44494354,174888515.0,106202213,1124905,36660390,97163884.0,1281615782.680289
Infosys,2023-03-01,3298696561.203104,1659469151.4936175,533450622.1616932,310872441.67124206,439341227.16757256,276444196.88694835,90336016,14952964,31918507,64261658,65147039.0,37632148,23718663,21814501,63080135.0,851439728.660845
Infosys,2023-04-01,4438916971.21029,2279574414.3084354,604999645.9111025,,420077951.2475974,388585727.747688,134882212,10093205,86437411,81831756,42778076.0,10758430,20778286,19661007,13863529.0,1079140597.243064
Infosys,2023-05-01,5323129114.63757,2887616361.621294,735936589.4118462,329942980.6736883,784716865.4418671,424894040.90110755,139243824,34825732,79157203,89124711,79885559.0,126844536,22904980,30267797,28570055.0,1260117097.7033226
Infosys,2023-06-01,2060370549.5505683,1011515241.0172584,260247993.98114344,177219972.25505453,121076180.90892155,197151828.63804162,62369017,3594058,27301043,20989593,29396163.0,59964881,233782,20512682,33427797.0,555765239.9141248
Infosys,2023-07-01,4592291996.1434355,2361296789.71085,862420644.07428,628251578.8250924,599719076.2520566,342143640.5895764,217852342,38042630,26779149,79110216,43069838.0,120173972,31219362,7084609,32002177.0,942022114.7687292
Infosys,2023-08-01,4141762214.340453,2727782589.00348,796360307.9019785,408817575.8578652,,154404829.35874867,105025227,5185773,79837564,21609907,,65702370,34523048,24691736,43193996.0,186419699.07624602
Infosys,2023-09-01,2366662733.77644,1632397688.387601,339023934.48577404,192129498.8851379,238119845.16764122,98810277.7257663,32306772,18533340,33065406,864645,,37809281,7574587,23292566,8336900.0,220028438.1772989
Infosys,2023-10-01,2301895775.4675655,1126102408.9921262,329248710.6401987,154380037.4461216,132273794.20802401,211636163.95881015,29229672,20020303,17686927,37266016,40467715.0,35174147,19367526,10016295,6314768.0,685745926.8764305
Infosys,2023-11-01,4001842000.026394,2551686871.471497,562178135.5084254,461842898.9133528,341851846.4956544,221994248.26161787,149559950,33843291,55339989,64587277,198059748.0,51877884,15805013,37811773,54091482.0,757573121.7848536
Infosys,2023-12-01,2834610894.6826444,1316848429.1659062,286896857.45402175,210101772.68663165,418352782.4844221,307716402.0156791,115478605,9091044,27709612,48890527,68080112.0,71766715,23472522,5378750,2607411.0,906022672.0470374
HDFC Bank,2021-01-01,3190315012.6577415,1731720340.3898258,438951705.1840463,285366109.99882114,306093742.9091574,254910741.77096736,48080322,13302313,6269324,34982512,,36075711,24281104,10488951,12485000.0,696314540.3129021
HDFC Bank,2021-02-01,2058112258.3767724,1305565830.87388,375632694.55989826,204875217.67599896,182420555.65577066,94228433.23574856,74802647,16566471,35281840,19578958,,17832891,11952983,7436754,,186397121.7072457
HDFC Bank,2021-03-01,4417123654.538218,1861274395.1423612,447060828.6918629,643354677.9296623,546622744.7255163,527197107.6759984,219197213,37889950,65651053,25568906,,105886094,20681938,21992838,11135474.0,1244491245.027995
HDFC Bank,2021-04-01,2187270068.460579,888651713.2886282,236700169.72072643,321060631.8906038,173985255.2889647,265479546.36280608,104435515,5497191,31099208,29805505,47675854.0,11004849,11232194,18034224,23250723.0,743882466.0884182
HDFC Bank,2021-05-01,2352768478.145395,1168536935.160439,264741407.50653517,229238728.6506147,144449781.7104072,229872533.86960515,97682448,18458292,22089615,30600479,,1668321,13296138,20070921,43561742.0,580449029.6088154
HDFC Bank,2021-06-01,4309756208.691881,2516388534.83939,837418315.5679432,319220501.35529643,267851941.52234307,238987339.57113704,85920505,22272887,20000738,65304697,14804511.0,18994397,8568438,18333734,11872752.0,713422870.7134111
HDFC Bank,2021-07-01,4638830508.234245,2768679268.5858984,546189249.7088783,484770275.33051515,688713128.2358478,330990497.48486716,216281004,39501580,36785617,60961537,28899868.0,126146995,22700314,44609118,84370894.0,869267856.4546015
HDFC Bank,2021-08-01,4756334914.147439,2775712162.934068,526017686.0769916,309908215.1071558,282410677.21831316,363651266.2840948,110582464,9184536,47766655,16413806,153966727.0,103326057,40078991,31512427,33121540.0,1112169748.8522844
HDFC Bank,2021-09-01,4538641772.761982,2571256230.60524,786578977.9335029,506505818.23454374,312269780.12190044,295201641.0558098,46502688,10916876,31978888,22461013,152676585.0,47204953,17443381,19565579,47380429.0,993177821.1674294
HDFC Bank,2021-10-01,2819993357.2782435,1525886325.421824,423577162.4335789,176168949.06884637,,217632467.35571015,107077760,14263315,48085527,55073945,70977316.0,29171429,27366868,8074037,34867175.0,638048691.0671304
HDFC Bank,2021-11-01,3366703861.717328,1940772397.7687411,498599714.7478284,384587175.9403407,190169477.78507233,231832937.3001896,108759341,28727993,66329075,41822973,158351005.0,36059026,18020510,31386811,53899323.0,749312366.9005688
HDFC Bank,2021-12-01,3068734170.2345614,1703702036.7060316,441958787.696359,198685969.23082784,254150340.25415474,230768336.45804274,149955875,6367712,44991633,51741502,142214771.0,181360,19221242,19292635,5532410.0,697681486.3741282
HDFC Bank,2022-01-01,4867319440.405582,3094132994.382637,544329948.2990533,442879775.8538841,,307214124.43097305,86610420,24100710,40253576,55030361,,66298692,13099507,12285500,46801033.0,759995716.2929192
HDFC Bank,2022-02-01,3298265254.85532,2239143061.056044,587942807.6144265,183428438.68683106,446165582.72252953,117794846.54621235,62151189,23805938,8221252,59307356,104079167.0,52209619,24774704,23591828,,470204559.63863707
HDFC Bank,2022-03-01,4470627741.871738,2834663746.5311003,450205269.5444175,,324220520.24244404,296439681.4490552,71976784,44470459,5905950,70321747,137246359.0,14218200,14987811,27736989,6423959.0,1063474875.3471656
HDFC Bank,2022-04-01,3363511488.62706,1719972392.9384856,480607743.2997566,,258364441.89539912,290732838.09720445,34293117,805113,61183416,9322004,139245763.0,11551409,20811680,26769370,15433222.0,926094861.2916133
HDFC Bank,2022-05-01,2580387400.7486014,1757364423.629983,271523297.40480983,237084270.44309556,196150158.6379366,137874919.92845216,77648282,9851044,46389268,28046417,85749316.0,27512406,11962073,15851428,12155863.0,413233986.7853565
HDFC Bank,2022-06-01,2571016041.490347,1145063823.4667568,315030948.2814329,193074733.29303548,347245555.0604019,277730317.4355393,85219184,16983703,23166524,37192252,,17456057,14960682,22197928,44882342.0,723880046.306618
HDFC Bank,2022-07-01,4023492168.103349,1779541854.447121,669584704.0264792,,240428807.99,393591402.4074372,198141720,30224818,60910677,40104523,158785518.0,53698471,10999077,26263177,39993954.0,1150836669.2223115
HDFC Bank,2022-08-01,2731692642.960228,1714212269.6491003,479168304.5279697,141486839.95985922,171073285.10805947,134578017.1957895,41831180,19678933,23063155,48118363,23593741.0,39247228,25455592,23599783,,430230753.5873685
